image_id,disease,yolo_class_id,split,source_path,label_exists
bd693ced-55cc-426c-bcf1-87cc6bbe77cf.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\test\Tomato___Early_blight\bd693ced-55cc-426c-bcf1-87cc6bbe77cf.JPG,False
2f02ea6a-5ef4-411c-9038-ab8a29b2a423.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\test\Tomato___Early_blight\2f02ea6a-5ef4-411c-9038-ab8a29b2a423.JPG,False
43c8e3f6-6f1e-47ea-b338-99e5edbd110d.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\test\Tomato___Early_blight\43c8e3f6-6f1e-47ea-b338-99e5edbd110d.JPG,False
0268e317-0dc3-4dc6-9747-22b3835aa5f7.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\test\Tomato___Early_blight\0268e317-0dc3-4dc6-9747-22b3835aa5f7.JPG,False
cc8ec236-e354-452f-9009-8ee042424cf6.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\test\Tomato___Early_blight\cc8ec236-e354-452f-9009-8ee042424cf6.JPG,False
be425bd0-d604-4dfd-8b53-361fe014ceee.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\train\Tomato___Early_blight\be425bd0-d604-4dfd-8b53-361fe014ceee.JPG,False
0ae734ed-d856-47be-8bc3-beced8448b70.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\train\Tomato___Early_blight\0ae734ed-d856-47be-8bc3-beced8448b70.JPG,False
2f6196c9-93c3-40d1-9d72-607667219544.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\train\Tomato___Early_blight\2f6196c9-93c3-40d1-9d72-607667219544.JPG,False
ea5d8470-a0f9-4c28-9bcb-2d967dd97a2e.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\test\Tomato___Early_blight\ea5d8470-a0f9-4c28-9bcb-2d967dd97a2e.JPG,False
d199161a-08ba-4290-85a9-9db16c5670a7.JPG,Early_blight,0,train,d:\ai_detect\sih 2026\ml\datasets\plantvillage_isolated\test\Tomato___Early_blight\d199161a-08ba-4290-85a9-9db16c5670a7.JPG,False
